title,day,date,month,year,event_type,series,body,city,venue
Ahoy! Where Lies Henry Hudson?,Tuesday,22,September,2009,Panel,Studio-X,"This summer at Woodstock&rsquo;s historic Byrdcliffe Arts Colony, sixteen Hudson Valley architects remembered Henry Hudson &ndash; whose body was lost at sea &ndash; on the Quadracentennial of his voyage into what is now New York City. Ranging in scale and materials, and incorporating elements from the local landscape and ecologies of New York&rsquo;s Hudson Valley, the discussion with participating architects and curator will be followed by a reception and sunset views of the Hudson River from Studio-X&rsquo;s west-facing windows.<br />
<br />
Featuring:<br />
<strong>BYRON BELL</strong>, Saugerties<br />
<strong>MATTHEW BIALECKI</strong>, Gardiner<br />
<strong>SOLANGE FABIAO</strong>, Rhinebeck<br />
<strong>TODD RADER</strong>, Germantown<br />
<strong>LINDA WEINTRAUB</strong>, curator and moderator, Reinbeck<br />
<br />
<br />
Sponsored by IZZE Sparkling Juice",New York,Studio-X NYC
PRE-OFFICE: Conversations with Architects,Thursday,8,October,2009,Discussion,Studio-X,"Capstone conversation on &quot;practice&quot;--a continually evolving word, embracing new technologies, responsibilities, territories and identities for the architect--toward a forthcoming publication. Individual conversations have been held between PRE-OFFICE and Bernard Tschumi, Laurie Hawkinson, Kadambari Baxi, Gregg Pasquarelli and Chris Sharples, The Living and many more. PRE-OFFICE is <strong>ZACHARY COLBERT</strong>, <strong>AARON DAVIS</strong>, <strong>DANIEL KIDD</strong> and <strong>LEAH MEISTERLIN</strong>. This group conversation will be recorded for use in PRE-OFFICE&#39;s first publication, coming soon from www.pre-office.com<br />
<br />
Wine and cheese reception to follow.<br />
<br />
Conversations:<br />
<br />
<strong>Lindy Roy</strong>, Roy Co. LLC<br />
<strong>Laurie Hawkinson</strong>, Smith-Miller Hawkinson Architects, LLP<br />
<strong>Kadambari Baxi</strong>, Martin / Baxi Architects<br />
<strong>Karla Rothstein</strong>, SR+T Architects<br />
<strong>Gregg Pasquarelli</strong> and <strong>Chris Sharples</strong>, SHoP Architects<br />
<strong>Scott Marble</strong> and <strong>Karen Fairbanks</strong>, Marble + Fairbanks<br />
<strong>Bernard Tschumi</strong>,&nbsp; Bernard Tschumi Architects<br />
<strong>Galia Solomonoff</strong>, SAS, Solomonoff Architecture Studio<br />
<strong>Matthias Hollwich</strong> and <strong>Marc Kushner</strong>, HWKN<br />
<strong>Florian Idenburg</strong> and <strong>Jing Liu</strong>, SO-IL, Solid Objectives - Idenburg Liu<br />
<strong>David Benjamin</strong> and <strong>Soo-in Yang</strong>, The Living<br />
<br />
--<br />
<br />
Sponsored by KPFF Consulting Engineers.<br />
www.kpff.com<br />
<br />
<em>Free and open to the public.</em><br />
<br />
<strong>Studio-X</strong><br />
180 Varick Street, Suite 1610<br />
between King and Charleton Streets<br />
1 train to Houston Street",New York,Studio-X NYC
The Garment District,Tuesday,17,November,2009,Panel,Studio-X,"What is the future of New York City&#39;s Garment District?<br />
<br />
<strong>MAGDA ABOULFADL</strong>, Member, Manhattan Community Board 5<br />
<strong>BARRY DINERSTEIN</strong>, Senior Planner, New York City Department of City Planning<br />
<strong>STAN HERMAN</strong>, Former President, Council of Fashion Designers of America<br />
<strong>PATRICK MURPHY</strong>, Head of Fashion/Retail Growth Initiatives, New York City Economic Development Corporation<br />
<strong>BARBARA RANDALL</strong>, President, Fashion Center Business Improvement District<br />
<br />
Moderated by <strong>VISHAAN CHAKRABARTI</strong>, Director, Real Estate Development Program and Marc Holliday Professor of Real Estate Development, Columbia GSAPP<br />
<br />
Sponsored by DRY Soda Co.<br />
<br />
--<br />
<br />
<strong>Studio-X</strong><br />
180 Varick Street, STE 1610<br />
between King and Charleton Streets<br />
1 train to Houston Street<br />
<br />
<em>Free and open to the public</em>",New York,Studio-X NYC
Safari 7 Reading Room,Tuesday,13,October,2009,Exhibition,Studio-X,"Curated by <strong>Kate Orff</strong> and <strong>Janette Kim</strong>, Urban Landscape Lab, GSAPP + <strong>Glen Cummings</strong>, MTWTF<br />
<br />
Germs, oysters, dogs, chickens, worms and humans are some of the species that populate the length of the MTA&#39;s 7 train--affectionately known as the &quot;International Express&quot; to its riders in Manhattan and Queens--a physical, urban transect through New York City&#39;s most diverse range of ecosystems. The 7 line runs from Manhattan&#39;s dense core, under the East River, and through a dispersed mixture of residences and parklands (including Sunnyside Gardens and the 1939 and 1964 World&#39;s Fair grounds), terminating in downtown Flushing, Queens: the nation&#39;s most ethnically diverse community.<br />
<br />
Led by the Urban Landscape Lab at Columbia University GSAPP, Safari 7 began in the summer of 2009 as a series of podcasts and cartographic explorations of the complexity, biodiversity, conflicts and potentials of New York&#39;s ecosystems, and of New Yorkers&#39; relationships the animal life around them. Materials were made available for self-guided tours, or through tours and workshops organized by the Urban Landscape Lab, which imagined subway cars as eco-urban classrooms and invited travelers to act as park rangers in their own city.<br />
<br />
Opening in conjunction with the conference &quot;ECOGRAM II: Architecture for a Crowded Planet,&quot; the &quot;Safari 7 Reading Room&quot; at Studio-X brings these subway classrooms to Studio-X through a series of maps, interactive tabletops and curated collections of books, where visitors may learn more about urban nature and transportation infrastructure as means of ecological and community engagement.<br />
<br />
<strong>ECOGRAM II: Architecture for a Crowded Planet</strong> is the second annual conference in a series that examines sustainability in the built environment and in architectural education chaired by <strong>Mitchell Joachim</strong> and <strong>Ioanna Theorcharopoulou</strong>, GSAPP + Parsons the New School for Design<br />
<br />
www.safari7.org<br />
<br />
The exhibition will be open to the public Mon-Fri, 10pm-6pm, from 10/13-11/31<br />
at Studio-X, 180 Varick Street, Suite 1610, New York",New York,Studio-X NYC
"""Al Manakh 2,"" Debate on Tour",Saturday,12,December,2009,Debate,Studio-X,"Saturday, December 12, 3-5pm.<br />
<br />
&quot;Al Manakh 2,&quot; Debate on Tour<br />
Co-sponsored by the Netherlands Architecture Institute<br />
<br />
Following previous debates in Venice and Mumbai, this (third of four planned debates) North American installment of the Netherlands Architecture Institute&#39;s &quot;Debate on Tour&quot; series will focus on the relation of short-stay visitors -- via tourism or business -- to the form, function, use and future of the cities of the Gulf. How do these places accommodate short stays? What parallels or differences emerge in comparison to the short-stay capital of the world, New York City?<br />
<br />
The discussions that emerge from the four global debates will inform the forthcoming publication &quot;Al Manakh 2: Export Gulf,&quot; a collaborative investigation into Gulf cities by the NAi, OMA-AMO, PinkTank (Dubai) and &quot;Volume Magazine.&quot;<br />
<br />
<u>Featuring:</u><br />
<strong>Alex Deffner</strong>, University of Thessaly, Greece<br />
<strong>Waleed Hazbun</strong>, The Johns Hopkins University, USA<br />
<strong>Christos Liouris</strong>, University of Thessaly, Greece<br />
<strong>Jeffrey Inaba</strong>, Columbia University GSAPP, USA<br />
<strong>Daniel van der Velden</strong>, Metahaven, The Netherlands<br />
<strong>Mark Wigley</strong>, Columbia University GSAPP, USA<br />
<br />
<strong>Studio-X</strong><br />
180 Varick Street, STE 1610<br />
New York, NY 10014",New York,Studio-X NYC
Red Lines Housing Crisis Learning Center Report at Studio X,Thursday,17,September,2009,Discussion,Studio-X,"<strong>Damon Rich</strong>&#39;s exhibition &quot;Red Lines Housing Crisis Learning Center&quot; at the Queens Museum of Art has been characterized by conversation and public engagement--from town hall meetings held citywide in neighborhoods affected by the foreclosure epidemic, to the graphics, models, videos and archival materials that explore home finance from the Great Depression to the Subprime Meltdown, to the museum&#39;s famed &quot;Panorama of the City of New York&quot; onto which the &quot;Red Lines&quot; team mapped New York City&#39;s 2008 foreclosure filings. At Studio-X, artist Damon Rich will discuss these experiences with QMA curator <strong>Larissa Harris</strong>, who commissioned the show at The Center for Advanced Visual Studies at MIT, and QMA Director of Public Events <strong>Prerana Reddy</strong>, who organized events around the exhibition alongside A broad array of arts-oriented programming that imagines the museum as a space for community development and social change. &quot;Red Lines Housing Crisis Learning Center&quot; will be on VIEW at the Queens Museum of Art through September 27th.<br />
<br />
Co-sponsored by the Queens Museum of Art.<br />
<br />
Who: <strong>DAMON RICH</strong>, artist<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong>Larissa Harris</strong>, curator, QMA<br />
<br />
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong> Prerana Reddy</strong>, Director of Public Events, QMA<br />
<br />
When: Thursday, 9/17, 6:30pm<br />
<br />
Where: Studio-X, 180 Varick Street, STE 1610<br />
<br />
Free and open to the public",New York,Studio-X NYC
Usman Haque in Conversation,Tuesday,15,September,2009,Discussion,Studio-X,"A conversation on interactive architecture, responsive environments, and participatory and open-source urbanism between London-based architect<strong> USMAN HAQUE</strong> and Living Architecture Lab Directors<strong> DAVID BENJAMIN</strong> and <strong>SOO-IN YANG</strong>, all of whom have featured works in the Architectural League of New York&#39;s autumn exhibition &quot;Situated Technologies: Towards a Sentient City,&quot; September 17-November 27.<br />
<br />
Co-sponsored by the Living Architecture Lab at Columbia GSAPP.",New York,Studio-X NYC
"""ink"" at Studio-X Beijing",Saturday,4,July,2009,Discussion,Studio-X,"&lsquo;ink&rsquo; is an evening of lively discussion on the varied conceptual and material aspects of &lsquo;ink&rsquo; in painting, in calligraphy and in architectural drawing. The event will be held in the amorphous GSAPP (Columbia University Graduate School of Architecture, Planning, and Preservation) Beijing studio space&ndash; located in a traditional hutong neighborhood near the Lama Temple&ndash;a space dedicated to hosting events and fostering creativity in the Beijing community. The discussion coincides with the opening of an exhibition of ink paintings and ink on mylar drawings by <strong>Michelle Fornabai</strong>.<br />
<br />
Guest Speakers::<br />
<strong>Michelle Fornabai</strong>, artist/architect, GSAPP, Columbia University<br />
<strong>Zhang Jian</strong>, Chief Directo, San Shang Art Gallery, Caochangdi<br />
<strong>Qing Pan</strong>, Curator, The National Art Museum of China<br />
<strong>Eric Xu</strong>, Chief Editor, Arbitare (From the announcement poster: an exploration of &lsquo;ink&rsquo; terms)<br />
<br />
墨&nbsp; &ldquo;Ink&rdquo;&ndash;a discussion of the varied conceptual and material aspects of ink&ndash; in painting, in calligraphy, and in architectural drawing. 墨黑 Inkiness blackens with pigment and tone, yet materializes all the variations of hue in the nuances of black. In concentration and dilution, to ink in is to implicate density, to suggest form with substance, to unify volume and movement. Inky suggests depth and darkness, in shade and shadow, in silhouette, yet one must infuse the brush with light. 翰墨 Opaque, obscured, murky&ndash; ink insinuates&ndash;from a glimpse of the hidden or secret, to the glimmering insight made through implication and allusion.&nbsp; In thickness and fineness, ink intimates hidden relations between concrete things in the embodied gesture, drawing a coherent path in the stroke from the apparent disorder of phenomena.&nbsp; To ink is to follow the inner lines of things to delineate an external reality. 墨水 An inkling mingles intuition with experience, cognition with recognition, perception with apprehension.&nbsp; An enquiry through ink probes and tests, prompting and reminding through inspection and introspection. In verve and reserve, to ink is to incarnate the rhythms and irrepressible instincts of situation and of imagination.&nbsp; Mastered by practice, yet manifest the spontaneous, ink flows in the steady rhythm of gestures, unbroken. 飞白A coherent network, with an implicit factor of emptiness that allows it to function ink is both a potential material, and material potentiality. Instantaneous and rhythmic, sensual and varied in aspect, harmonious or contrasting in structure&mdash;a philosophy in action&mdash; ink may incite a similarly moderated discussion of relations between abstraction and figuration; of oscillations between the material and the conceptual; of locality and temporality in indexical marks and associative meanings. 墨&nbsp; &lsquo;m&ograve;&rsquo;&nbsp;&nbsp;&nbsp; &lsquo;ink,&rsquo; black, pigment, handwriting or painting, learning 墨黑 &lsquo;m&ograve;hei&rsquo;&nbsp;&nbsp; &lsquo;black,&rsquo; pitch-dark 翰墨 &lsquo;h&agrave;nm&ograve;&rsquo;&nbsp;&nbsp; &lsquo;brush + ink,&rsquo; writing, painting, calligraphy (literary) 墨水 &lsquo;m&ograve;shui&rsquo;&nbsp;&nbsp; &lsquo;ink + water,&rsquo; learning 飞白 &lsquo;feib&aacute;i&rsquo;&nbsp;&nbsp; &lsquo;flying white&rsquo; in brushstroke, rhetorical effectiveness in using incorrect words",Beijing,Studio-X Beijing
Islands & Ghettos,Tuesday,28,April,2009,Discussion,Studio-X,"With the extreme examples of Caracas and Dubai as a starting point, ISLAND + GHETTOS examines phenomena of territorial segregation in a global context. Currently on display at Berlin&#39;s NGBK Gallery, the work featured within this exhibition and accompanying publication will be discussed at Studio-X by contributors:<br />
<br />
<strong>FREDERIC LEVRAT</strong>, Columbia University GSAPP<br />
<strong>ALFREDO BRILLEMBOURG</strong>, Urban Think Tank, Columbia University GSAPP<br />
<strong>HUBERT KLUMPNER</strong>, Urban Think Tank, Columbia University GSAPP<br />
<br />
Response by <strong>PEDRO RIVERA</strong><br />
<br />
Alongside three simultaneous slide shows of islands, ghettos, enclaves and global polar extremes.<br />
<br />
<br />
<br />
Free and open to the public",New York,Studio-X NYC
Iron Designer,Thursday,23,April,2009,Competition,Studio-X,"Please join Studio-X, Storefront for Art and Architecture, Raumlabor, Dumbo Improvement District and Inhabitat:<br />
<br />
IRON DESIGNER is a real-time, ecologically based competition based on &quot;Iron Chef&quot; and held within Spacebuster by Raumlabor. http://www.storefrontnews.org/event_dete.php?eventID=91<br />
<br />
Who: Teams of Third-Year M.Arch students from:<br />
<br />
&nbsp;&nbsp;&nbsp; Columbia University GSAPP<br />
&nbsp;&nbsp;&nbsp; Parsons The New School for Design<br />
&nbsp;&nbsp;&nbsp; City College of New York<br />
&nbsp;&nbsp;&nbsp; Pratt Institute<br />
<br />
Meet at the Pearl Street Triangle, Dumbo, Brooklyn, inside Spacebuster<br />
<br />
Winning team will be featured on Inhabitat.com<br />
<br />
Jurors include: <strong>Joseph Grima</strong> (Storefront for Art and Architecture),<strong> Raumlabor</strong>, <strong>Olivia Chen</strong> (Inhabitat), <strong>Kate Kerrigan</strong> (Dumbo Improvement District), <strong>Richard Plunz</strong>, <strong>Ben Prosky</strong> and <strong>Sarah Williams </strong>(Columbia GSAPP), <strong>Meredith Tenhoor</strong> and <strong>Deb Johnson</strong> (Pratt Institute), <strong>Joel Towers</strong> (Parsons), <strong>Rafael Magrou</strong> (architecture critic, Paris), <strong>Amale Andraos</strong> and <strong>Dan Wood</strong> (workAC), <strong>William Menking</strong> (The Architect&#39;s Newspaper), and others to be announced.<br />
<br />
Sponsored by Studio-X/Columbia University GSAPP, Storefront for Art and Architecture, Raumlabor, Dumbo Improvement District and Inhabitat.<br />
<br />
Organized by <strong>Mitchell Joachim</strong>, <strong>Ioanna Theocharopoulou</strong> and <strong>Gavin Browning</strong> as a continuation of &ldquo;ECOGRAM: The Sustainability Question.&rdquo;",New York,"Pearl Street Triangle, DUMBO"
