title,day,date,month,year,event_type,series,body,city,venue
So-Il: To BE DETERMINED Exhibition Opening,Friday,10,December,2010,Opening,Studio-X,"Exhibition Dates: December 10 &ndash; January 8, 2010<br />
<br />
&quot;SO &mdash; IL built a synthesis between architecture and performance, be&shy;tween the real experience and the digital intervention, between serious innovation and playful function.&quot;<br />
- Klaus Biesenbach<br />
MoMAPS1 Director<br />
MoMA Chief Curator at large<br />
<br />
This multimedia exhibition is the outcome of New York-based firm So-Il&rsquo;s (Solid Objectives &ndash; Idenburg Liu) collaborations with artists including <strong>Iwan Baan </strong>and <strong>Paula Hayes</strong>. In their boundary-crossing designs &ndash; here represented in video, photographs, shadow projections and models - Principals <strong>Jing Liu</strong> and GSAPP instructor <strong>Florian Idenburg</strong> offer a new cultural definition of sustainability. Set against the staggering complexity of urban sprawl in China, this vision finds new traction and indicates considered alternatives to the groundless path of development today.<br />
<br />
--<br />
<br />
<strong>Studio-X Beijing</strong><br />
46 Fangjia Hutong<br />
Andingmen Inner Street<br />
<br />
<em>Free and Open to Public</em>",Beijing,Studio-X Beijing
Architecture of Consequence - Dutch Designs on the Future and Urban Flux #16 Magazine Launch,Saturday,18,December,2010,[object Object],Studio-X,"Studio-X hosts the launch of Urban Flux #16 Magazine, an event co-organized by the Netherlands Architecture Institute (NAi) and Moving Cities. NAi Director <strong>Ole Bouman</strong> will deliver a lecture, with debate and drinks to follow.<br />
<br />
--<br />
<br />
<strong>Studio-X Beijing</strong><br />
46 Fangjia Hutong<br />
Andingmen Inner Street<br />
<br />
<em>Free and Open to Public</em>",Beijing,Studio-X Beijing
"Field Reports on Design and Synthetic Biology, Part 3",Tuesday,30,November,2010,Lecture,Studio-X,"Synthetic biology is a new approach to designing biology by manipulating DNA. This series of field reports brings together biologists, artists, sociologists, philosophers, and architects to share current work and discuss future possibilities for architecture, innovation, and danger in the century of biology. This session will involve a presentation about nano-scale materials by architect <strong>Martina Decker</strong>.<br />
<br />
Organized by<strong> David Benjamin</strong>, GSAPP and the Architecture Bio-Synthesis Project at Columbia.<br />
<br />
--<br />
<br />
<strong>Studio-X New York</strong><br />
180 Varick Street, Suite 1610<br />
<br />
<em>Free and open to Public</em>",New York,Studio-X NYC
REFUSE REFUSE: WASTE STREAM at Studio-X,Friday,12,November,2010,Discussion,Studio-X,"This event is the fifth in series of public dialogues on WASTE STREAMS organized in conjunction with the current Architecture and Urban Design Studio. It is structured around a dialogue between <strong>Manuel Mansylla</strong> and <strong>Dennis Maher</strong>, who promote the use of reclaimed, recycled and re-purposed materials in their artistic practices, addressing both the global scale of environmental systems, and that of objects and architectural spaces.<br />
<br />
There will be a question and answer session moderated by <strong>Angela Chen-Mai Soong</strong> and <strong>Sandro Marpillero</strong> (AUD GSAPP Faculty) to foster a conversation between the artists and the audience, which includes both the AUD class as well as outside guests. The theme of waste will also be addressed by a display of AUD2010 students&rsquo; work, which engages post-industrial sites in Bushwick (Brooklyn) with installations documented by short videos. The event will reveal the potential use of waste objects to read, interact, investigate and reconstruct urban conditions.<br />
<br />
--<br />
<br />
<strong>Studio-X New York</strong><br />
180 Varick Street<br />
<br />
<em>Free and Open to Public</em>",New York,Studio-X NYC
Cities,Tuesday,9,November,2010,Discussion,Studio-X,"Tuesday, November 09, 2010<br />
6:30 PM - 9:00 PM<br />
<br />
Off-site Studio-X event at<br />
<strong>92Y Tribeca</strong><br />
200 Hudson Street<br />
New York, NY 10013<br />
<br />
Free and open to the public. For more information and to RSVP please visit: http://studiox.eventbrite.com -- WAITLIST ONLY.&nbsp; This event is now sold out.<br />
<br />
A conversation with<br />
<br />
<strong>LEWIS H. LAPHAM</strong>, Founder and Editor, Lapham&rsquo;s Quarterly<br />
<br />
<strong>ROBERT KRULWICH</strong>, Correspondent, NPR Science; Host, Radiolab<br />
<br />
<strong>JEFFREY INABA</strong>, Director, C-Lab, GSAPP, Columbia University<br />
<br />
<strong>ANDREW DOLKART</strong>, Director, Historic Preservation Program, GSAPP<br />
<br />
Moderated by<br />
<br />
<strong>MARK WIGLEY</strong>, Dean, Graduate School of Architecture, Planning and Preservation, Columbia University<br />
<br />
Tuesday, November 9th<br />
6:30pm reception<br />
7:00pm conversation<br />
<br />
An exhibition by GSAPP&#39;s C-LAB will be on view before and after the conversation.<br />
<br />
PARTICIPANT BIOS:<br />
<br />
<strong>LEWIS H. LAPHAM</strong> is the founder and editor of Lapham&#39;s Quarterly. The editor emeritus of Harper&#39;s Magazine, Lapham was inducted into the American Society of Magazine Editors Hall of Fame in 2007. He is the author of thirteen books, among them Money and Class in America, The Wish for Kings,Waiting for the Barbarians and Theater of War. He produces a weekly broadcast, &ldquo;The World in Time&rdquo; for Bloomberg News, and his documentary film, The American Ruling Class has become part of the curriculum in many of the nation&#39;s schools and colleges. A member of the Council on Foreign Relations in New York, Lapham has lectured at many of the nation&#39;s leading universities, including Yale, Princeton, Dartmouth and Stanford.<br />
<br />
<strong>ROBERT KRULWICH</strong> covers science for National Public Radio and is Co-host of NPR&#39;s Radiolab. His specialty is explaining complex subjects - science, technology, economics - in a style that is clear, compelling and entertaining. For several decades he was a correspondent at ABC and CBS News. TV Guide called him &quot;the most inventive network reporter in television&quot;. He has explored the structure of DNA with a banana, created his own Italian Opera &quot;Ratto Interesso&quot; to explain how the Federal Reserve regulates interest rates, he pioneered the use of new animation on ABC&#39;s Nightline, World News, and on NPR&#39;s Internet site to explore cellular biology and subprime lending. Krulwich regularly appears on NPR&#39;sMorning Edition and All Things Considered. His program, Radiolab is a national radio series that explores new developments in science for people who are curious but not usually drawn to science shows. &quot;I like talking about ideas, and I especially like creating images that will keep those ideas in peoples&#39; heads for hours, days, even months&quot; he says. In 2007, The National Academy of Sciences, Engineering and Medicine gave Radiolab its top honor for excellence in communicating science to the general public. In 2009, Radiolab won the American Association for the Advancement of Science Excellence in radio award. He has also won three Emmys, A Polk Award, a Dupont Award and the National Cancer Institute&#39;s Extraordinary Communicator&#39;s Award.<br />
<br />
<strong>JEFFREY INABA</strong> is the Director of C-LAB, a research unit at Columbia University&lsquo;s Graduate School of Architecture, Planning and Preservation which tests experimental forms of architectural communication and broadcasts urban and architecture issues of public consequence. He is the Features Editor of Volume Magazine, and the author of numerous publications, including the recent book, World of Giving (Lars M&uuml;ller Publishers, 2010). Jeffrey Inaba is the founder of INABA, an architecture office that specializes in content development and design. He serves on the Mayor&rsquo;s Design Advisory Panel in Los Angeles and as an advisor to several private institutions. Inaba received Master of Architecture with Distinction and MA in Philosophy of Architecture degrees from Harvard University, and an AB with Highest Honors from the University of California, Berkeley.<br />
<br />
<strong>ANDREW S. DOLKART</strong> is the Director of the Historic Preservation Program and the James Marston Fitch Associate Professor of Historic Preservation at the Columbia University Graduate School of Architecture, Planning and Preservation. He is a historian specializing in the architecture and development of New York City and is the author of several award winning books, including Morningside Heights: A History of Its Architecture and Development, Biography of a Tenement House in New York City: An Architectural History of 97 Orchard Street, and, most recently, The Row House Reborn: Architecture and Neighborhoods in New York City, 1908-1929. He is currently working on an exhibition and book on the architecture and development of the Garment District.<br />
<br />
<strong>MARK WIGLEY</strong> was appointed Dean of GSAPP in 2004. He is also a co-founder, with Rem Koolhaas and Ole Bouman, of Volume Magazine. An accomplished scholar and design teacher, Mark Wigley has written extensively on the theory and practice of architecture and is the author of Constant&rsquo;s New Babylon: The Hyper-Architecture of Desire (1998); White Walls, Designer Dresses: The Fashioning of Modern Architecture (1995); and The Architecture of Deconstruction: Derrida&rsquo;s Haunt (1993). He co-edited The Activist Drawing: Retracing Situationalist Architectures from Constant&rsquo;s New Babylon to Beyond (2001). Wigley has served as curator for widely attended exhibitions at the Museum of Modern Art, New York; The Drawing Center, New York; Canadian Centre for Architecture, Montreal; and Witte de With Museum, Rotterdam. He received both his Bachelor of Architecture (1979) and his Ph.D. (1987) from the University of Auckland, New Zealand.<br />
<br />
--<br />
<br />
Co-sponsored by Lapham&rsquo;s Quarterly and Studio-X, Graduate School of Architecture, Planning and Preservation at Columbia University.<br />
<br />
Wine provided by Palm Bay International.",New York,92Y Tribeca
Black Gold: Film Screening & Discussion,Thursday,18,November,2010,Film Screening,Studio-X,"Multinational coffee companies now rule our shopping malls and supermarkets and dominate the industry worth over $80 billion, making coffee the most valuable trading commodity in the world after oil. But while we continue to pay for our lattes and cappuccinos, the price paid to coffee farmers remains so low that many have been forced to abandon their coffee fields. Nowhere is this paradox more evident than in Ethiopia, the birthplace of coffee. Tadesse Meskela is one man on a mission to save his 74,000 struggling coffee farmers from bankruptcy. As his farmers strive to harvest some of the highest quality coffee beans on the international market, Tadesse travels the world in an attempt to find buyers willing to pay a fair price.<br />
<br />
The co-directors and producers, <strong>Nick Francis</strong> and <strong>Marc Francis</strong>, will be available after the film screening to answer questions.<br />
<br />
This event is co-sponsored by the <a href=""http://www.ias.columbia.edu/"">Institute of African Studies Program</a>.<br />
For more information on the film, please visit <a href=""http://www.blackgoldmovie.com/"">Black Gold</a>.<br />
These films are part of the 2010-2011 <a href=""http://cgt.columbia.edu/conferences/world_and_africa_series/"">World and Africa Series</a>.<br />
<br />
--<br />
<br />
<strong>Studio-X New York</strong><br />
180 Varick Street<br />
<br />
<em>Please register for the event <a href=""https://calendar.columbia.edu/sundial/webapi/register.php?eventID=44555&amp;REGISTER_SESSION_NAME=7a032e563d6d41af590adc1ef06dd3bf&amp;state=init&amp;"">here</a>.</em><br />
",New York,Studio-X NYC
Film Screening and Discussion: When China Met Africa and The Colony,Thursday,2,December,2010,Film Screening,Studio-X,"<strong>When China Met Africa</strong> (2010)<br />
A historic gathering of over 50 African heads of states in Beijing reverberates in Zambia where the lives of three characters unfold. Mr. Liu is about to buy his fourth farm; Manager Liis uprading one of Zambia&#39;s longest roads and the Zambian trade minister is on route to China to secure millions of dollars of investment. Through the intimate portrayal of these characters, a global shift in power from west to east is laid bare.<br />
For more information on the film, please visit <a href=""http://www.whenchinametafrica.com/"">When China Met Africa</a>.<br />
<br />
<strong>The Colony </strong>(2010)<br />
The Colony examines China&#39;s aggressive new economic role in Africa. The film shows how Chinese working inside the African country of Senegal are changing the economic landscape of the continent. Senegal, where many believe China first began its economic expansion, will be looked at like a microcosm reflecting the wider trend affecting the entire continent. The documentary also looks at the myriad of ways Africans are affected by these endeavors.<br />
<br />
<strong>Brent E. Huffman</strong> is an award-winning director, writer, and cinematographer of documentaries and television programs. His work ranges from documentaries aired on The Discovery Channel and The National Geographic Channel, to Sundance Film Festival winners, to films made for FRONTLINE/World on PBS. He is also an assistant professor at the Medill School of Journalism at Northwestern University where he teaches documentary and broadcast production and theory.<br />
For more information on the film, please visit <a href=""http://www.germancamera.com/"">German Camera Productions</a>.<br />
<br />
<strong>Daniel Large</strong> is Research Director of the Africa Asia Centre, School of Oriental and African Studies, London. He is editing, with Luke Patey, Sudan Looks East: China, India and the politics of &lsquo;Asian&rsquo; engagement (forthcoming, James Currey), and co-edited, with Chris Alden and Ricardo Soares de Oliveira, China Returns to Africa: A Rising Power and a Continent Embrace (Hurst, 2008). He is also a Research Associate with the South African Institute of International Affairs&rsquo; China in Africa programme, and founding Director of the Rift Valley Institute&rsquo;s Sudan Open Archive (www.sudanarchive.net).<br />
<br />
This event is part of the <a href=""http://cgt.columbia.edu/conferences/world_and_africa_series/"">2010-2011 World and Africa Series</a>. Please check back for more information about upcoming events.<br />
<br />
--<br />
<br />
<strong>Studio-X New York</strong><br />
180 Varick Street<br />
Registration is encouraged <a href=""https://calendar.columbia.edu/sundial/webapi/register.php?eventID=45271&amp;REGISTER_SESSION_NAME=73c61466847c395729752bd7e464c2ac&amp;state=init&amp;"">Sign Up Here</a><br />
<br />
<em>The event is free and open to the public.</em>",New York,Studio-X NYC
TEDxBeijing Simulcast,Saturday,13,November,2010,TEDx,Studio-X,"The 2010 annual TEDxBeijing event &ldquo;Uncovering Innovation&rdquo; will explore the nature of the idea; how ideas happen, grow and act across disciplines. Speakers include <strong>Lu Zhi</strong>, renowned panda expert, speaking on conservation, artist <strong>Martin Barnes</strong>, robotics expert <strong>Dr. Guangming Xie</strong>, and New York-based music producer <strong>Adam Kidron</strong>.<br />
<br />
In English only.<br />
<br />
--<br />
<br />
<strong>Studio-X Beijing</strong><br />
46 Fangjia Hutong<br />
Andingmen Inner Street<br />
<br />
<em>To register please visit tedxbeijing.com</em>",Beijing,Studio-X Beijing
Urban China 2030 Symposium,Monday,1,November,2010,Symposium,Studio-X,"Monday, November 01, 2010 at 8:00 AM<br />
- to -<br />
Tuesday, November 02, 2010 at 5:30 PM<br />
<br />
<strong>Studio-X Beijing</strong><br />
A103, 46 Fangjia Hutong<br />
Andingmen Inner Street, Dongcheng District<br />
Beijing 100007<br />
China<br />
<br />
Registration requested.<br />
<br />
China today has overtaken Japan as the second largest economy in the world. Urbanization in China is urgent, incessant, and of gargantuan proportions. In the last two decades, cities and urban forms have experienced unprecedented transformation and development. A sense of speed, simultaneity, and complexity accompany the urban transformations. The processes of building and un-building have unleashed the creative power of architecture and city design in multiple ways: as an artistic endeavor exploring spectacular forms; as a global project expanding the boundaries of global flows investments, technical expertise, and labor; as a productive enterprise testing the limits of mass production and markets; as having the power to create simultaneously, concrete jungles and ecologically sustainable cities; and as a symbolic force that constructs national narratives and local identities.<br />
<br />
This two-day symposium will bring together experts, scholars, and critical thinkers of urbanism in China to explore urgent issues facing Chinese cities today, and to discuss the new challenges of development and urbanization they must confront in the coming two decades.<br />
<br />
Participating speakers include:<br />
<br />
<strong>Yong-Wei Chan</strong>, ARUP Design, Engineering, Planning Consultants, Beijing Office<br />
<strong>Young Ho Chang</strong>, Professor, Architecture, Massachusetts Institute of Technology, Cambridge, MA<br />
<strong>Jyoti Hosagrahar</strong>, Director, Sustainable Urbanism International, GSAPP, Columbia University, New York<br />
<strong>Ede Ijjasz-Vasquez</strong>, Manager, World Bank, Beijing<br />
<strong>Wu Jiang</strong>, Professor and Vice-President, Tongji University, Shanghai<br />
<strong>Lu Jingping</strong>, Vice-Dean, Chinese Academy of Fine Arts, Beijing<br />
<strong>Jiang Jun</strong>, Editor in Chief, Urban China Magazine, and Underline Office<br />
<strong>Yansong Ma</strong>, MAD Architects, Beijing<br />
<strong>Ron Van Oers</strong>, Program Specialist, UNESCO World Heritage Center, Paris<br />
<strong>Mark Wigley</strong>, Dean, GSAPP, Columbia University, New York<br />
<strong>Geng Xiao</strong>, Director, Columbia Global Center - East Asia, Beijing<br />
<br />
To register, please click here or visit urbanchina2030.eventbrite.com for additional information.<br />
<br />
--<br />
<br />
ORGANIZED BY<br />
<br />
GRADUATE SCHOOL OF ARCHITECTURE, PLANNING AND PRESERVATION<br />
<strong>Mark Wigley</strong>, Dean<br />
www.arch.columbia.edu<br />
The Graduate School of Architecture, Planning and Preservation at Columbia University in New York City, also known simply as GSAPP, is regarded as one of the most important and prestigious architecture schools in the world. The school confers Masters Degrees in Architecture, Advanced Architectural Design, Architecture and Urban Design, Urban Planning, Historic Preservation, Real Estate Development, and Critical, Curatorial, and Conceptual Practices in Architecture as well as a Doctoral Degree in Architecture. All programs share a commitment to both professional training and research. The curriculum and philosophy stress the necessity of analyzing and challenging the underlying history, premises, and future directions of the design professions, even as students are prepared to become accomplished practitioners in their respective fields of specialization.<br />
<br />
SUSTAINABLE URBANISM INTERNATIONAL<br />
<strong>Jyoti Hosagrahar</strong>, Director<br />
sustainurban.org<br />
Sustainable Urbanism International is a research and design initiative committed to the conservation of cultural heritage, and developing strategies for promoting culturally and environmentally sensitive strategies for urban development. SUI was established as a non-profit NGO in Bangalore in 2003 and is also a research unit at the Graduate School of Architecture, Planning and Preservation.<br />
<br />
STUDIO-X BEIJING<br />
<strong>Li Hu</strong>, Director<br />
arch.columbia.edu/studiox<br />
Studio-X is GSAPP&rsquo;s global network of advanced research laboratories for exploring the future of cities. With locations in New York, Beijing, Amman, Mumbai, Rio de Janeiro, and Moscow, it is a new platform for incubating conversation about the future of the built environment &ndash; intense collaborative workshop by day, energizing event space by night.&nbsp; To learn more visit www.arch.columbia.edu/studiox and join the mailing list.",Beijing,Studio-X Beijing
CU Alumni Reception,Sunday,31,October,2010,Reception,Studio-X,"Please join us this Sunday for a special cocktail reception as we bring together the many sides of the Columbia community in Beijing for the first time.<br />
<br />
This event marks the launch of the CU symposium Urban China 2030, a two-day conference organized by GSAPP with support from UNESCO. Meet the participating panelists, and learn more about the innovative projects underway at Studio-X Beijing. We are also pleased to have the occasion to welcome <strong>Professor Geng Xiao</strong> to his new position as Director of Columbia Global Centers &ndash; East Asia.<br />
<br />
--<br />
<br />
<strong>Studio-X Beijing</strong><br />
A103, 46 Fangjia Hutong<br />
Andingmen Inner Street, Dongcheng District<br />
<br />
<em>Free and open to Columbia alumni and their families</em>",Beijing,Studio-X Beijing
