title,day,date,month,year,event_type,series,body,city,venue
Project India Dialogue,Thursday,1,December,2011,Discussion,Studio-X,"<p>An open roundtable dialogue between the 1%-ers &amp; local artists/curators/art theorists/cultural institutionsregarding their recent series of works in Mumbai &amp; the nature of the cross-cultural collaborative project.</p>
<p>&nbsp;</p>
<p>&#39;Project India&#39; is the current leg of the &#39;Banality &amp; Big Questions&#39; tour. It is a collaborative venture between the 1%-ers Art Collective and Asia Art Projects, which sets out to examine new ways for artists to work both cross-culturally and collaboratively. The project will initially take the form of a series of residencies, exhibitions and events in both established and unconventional venues in Mumbai.</p>
<p>&nbsp;</p>
<p>The project begins with a short artist residency at Space 118, Mumbai, where the 1%-ers, featuring a collection of contemporary UK artists, writers and creative practitioners, will respond to the city and collaborate with local Indian artists to create new artworks. These pieces will be shown together with recent works, which showcase each individual&#39;s current practice, to form a series of non-commercial exhibitions and events, culminating in a two-week arts festival.</p>
<p>&nbsp;</p>
<p>The programme of events taking place in Mumbai will later develop in Nottingham (UK) throughout various venues across the city in March 2012.</p>
",Mumbai,Studio-X Mumbai
Studio-X Night School: An Evening of Psychometric Drawing Experiments with Sam Jacob,Saturday,10,December,2011,Night School,Studio-X,"<p>We are thrilled to welcome architect <strong>Sam Jacob</strong>, from Fashion Architecture Taste and Strange Harvest, to Studio-X NYC on Saturday, December 10, for the latest instalment of our Night School series.</p>
<p>&nbsp;</p>
<p>Sam will be guiding us through An Evening of Psychometric Drawing Experiments, Architectural Non Sequiturs, and Free Association. Over the course of this unique workshop, we&#39;ll explore the potential of drawing to generate and represent the spatially impossible, using techniques derived from police artists, psychiatrists, and parlor games.</p>
<p>&nbsp;</p>
<p>No drawing skills are required. Some basic pens and paper will be provided, but please bring your own drawing instruments and sketchbooks, if you have particular needs or preferences.</p>
<p>&nbsp;</p>
<p>All are welcome, no RSVP required.</p>
",New York,Studio-X NYC
Constructions,Saturday,10,December,2011,Exhibition,Studio-X,"Exhibition, Presentation and Talk<br />
Saturday, 10th Dec. 2011 at 6.30 pm<br />
Exhibition continues till 16th Dec. 2011, 10 am to 6 pm (except Sunday)<br />
&nbsp;<br />
Studio X Mumbai<br />
Columbia University GSAPP<br />
Kitab Mahal, 4th Floor 192 D.N.Road, Fort, Mumbai - 400 001",Mumbai,Studio-X Mumbai
Project India: This is Now,Friday,25,November,2011,Opening,Studio-X,"<p><strong>Project India</strong> is the current leg of the <strong>Banality &amp; Big Questions</strong> tour. It is a collaborative venture between the <strong>1%-ers Art Collective</strong> and <strong>Asia Art Projects</strong>, which sets out to examine new ways for artists to work both cross-culturally and collaboratively. The project will initially take the form of a series of residencies, exhibitions and events in both established and unconventional venues in Mumbai.</p>
<p>&nbsp;</p>
<p>The project begins with a short artist residency at Space 118, Mumbai, where the 1%-ers, featuring a collection of contemporary UK artists, writers and creative practitioners, will respond to the city and collaborate with local Indian artists to create new artworks. These pieces will be shown together with recent works, which showcase each individual&#39;s current practice, to form a series of non-commercial exhibitions and events, culminating in a two-week arts festival.</p>
<p>&nbsp;</p>
<p>The programme of events taking place in Mumbai will later develop in Nottingham (UK) throughout various venues across the city in March 2012.</p>
<p>&nbsp;</p>
<p><strong>This is Now </strong>- Studio X, Mumbai - Curated by <strong>Allan Binns </strong></p>
<p>Opening: Thurs 24 November, 7pm - 9pm</p>
<p>Running from Fri 25 November - Sat 10 December</p>
<p>Opening hours: Mon - Sat, 10am - 6pm</p>
<p>&nbsp;</p>
<p><strong>We Are Here</strong> - False Ceiling Gallery - Curated by <strong>Rachel Murray</strong></p>
<p>Opening: Fri 25 November, 7pm - 9pm</p>
<p>Running from Sat 26 November - Sat 10 December</p>
<p>Opening hours: Mon - Fri, 5pm - 10pm &amp; Sat - Sun, 10am - 6pm</p>
<p>&nbsp;</p>
<p><strong>Cross Exposures</strong> - Kala Ghoda Caf - Curated by <strong>Allan Binns</strong></p>
<p>Opening: Sat 26 November, 7pm - 9pm</p>
<p>Running from Sun 27 November - Sat 10 December Gallery</p>
<p>Opening hours: Mon - Sun, 10pm - 6pm</p>
",Mumbai,Studio-X Mumbai
Studio-X Night School: Camera Hacking,Thursday,1,December,2011,Night School,Studio-X,"<p>Join media artist <strong><a href=""http://kylemcdonald.net/"">Kyle McDonald</a></strong> and speculative designer<strong> <a href=""http://www.woebken.net/"">Chris Woebken</a></strong> as they demonstrate a series of experiments using time-lapse, photo traps, and computer face-detection to reveal hidden perspectives, invisible behaviors, and unexpected interactions in the city.</p>
<p>&nbsp;</p>
<p>Please bring your own computer (with Open Frameworks pre-installed) and Kinect, as well as any old analog Polaroid, compact, or SLR cameras. Kyle and Chris will bring soldering irons, hot glue guns, and other tools, and work with you to hack your old gear into, for example, your very own photo trap.</p>
<p>&nbsp;</p>
<p>Space is limited; you must register to attend.</p>
<p>&nbsp;</p>
<p>RSVP Free; registration required at <a href=""http://studioxnycnightschoolcamerahacking.eventbrite.com/"">HTTP://STUDIOXNYCNIGHTSCHOOLCAMERAHACKING.EVENTBRITE.COM/</a> to attend.</p>
",New York,Studio-X NYC
LI@SX: Bas Kalmeyer,Tuesday,22,November,2011,Live Interview,Studio-X,"<p>For the next interviewee in our Live Interview @ Studio-X series, we&#39;re delighted to welcome <strong>Bastiaan Kalmeyer</strong>. Bas is an architect-researcher at Dutch practice MVRDV and urban futures think-tank, The Why Factory. He will present and discuss his most recent work, particularly the concepts behind the Vertical Village, in a live interview with Studio-X NYC co-directors Geoff Manaugh and Nicola Twilley.</p>
<p>&nbsp;</p>
<p>Drop by and join us for a glass of wine and a lively conversation on the future of urban living and the impact of vertical density on community.</p>
<p>&nbsp;</p>
<p>Free and open to the public.</p>
",New York,Studio-X NYC
Night School: SubSeries,Saturday,19,November,2011,Night School,Studio-X,"<p>In this next installment of the Studio-X NYC Night School series you will have the opportunity to learn how to put together your own collaborative, speculative urban design provocation.</p>
<p>&nbsp;</p>
<p>Over the last year, architects and designers <strong>Elizabeth Lasater</strong> and <strong>Nico Weiss </strong>of BAUKUNST teamed up to co-organize SUBSERIES, a project that gathered and focused the design intelligence of 23 emerging New York-based architects, planners, artists, and writers in order to re-imagine 11 subway stations.</p>
<p>&nbsp;</p>
<p>For Saturday&#39;s Night School, Lasater and Weiss will lead a tour, discussion, and design charrette that will showcase SubSeries as a prototype for your own future collaborative efforts to generate new spatial strategies to improve the city.</p>
<p>&nbsp;</p>
<p>We&#39;ll meet at 2:30pm at Houston St. subway station for a tour (cost: one Metrocard swipe), before returning to Studio-X NYC for discussion and a hands-on design workshop.</p>
<p>&nbsp;</p>
<p>All are welcome (no special equipment or design qualifications necessary), and coffee, cookies, and coaching will be provided to aid the creative process!</p>
<p>&nbsp;</p>
<p><strong>RSVP</strong> Free; RSVP to studioxnyc@gmail.com to attend Night School: SubSeries</p>
",New York,Studio-X NYC
UnPRePareD: lessons from the informal economy,Friday,18,November,2011,Discussion,Studio-X,"<p>Out of certain economic conditions, a unique system of production has emerged in Dharavi. The system, a decentralized network of specialized production units within close proximity to one another and run by independent agents, each unit tends to have autonomy and is highly adaptive.</p>
<p>&nbsp;</p>
<p>Led by <strong>Bas Princen</strong> and in partnership with Studio-X Mumbai, the Droog Lab is currently engaging with the informal economy with the aim of developing a new design methodology. Please Join us for an open discussion on the results of our two week workshop.</p>
<p>&nbsp;</p>
<p><strong>Friday, November 18th, 2011</strong></p>
<p>6:30pm</p>
<p>&nbsp;</p>
<p><strong>Studio-X Mumbai</strong></p>
<p>Kitab Mahal, 4th Floor</p>
<p>192 D.N.Road, Fort, Mumbai 400001</p>
<p>(adjacent to New Excelsior Cinema)</p>
<p>&nbsp;</p>
<p><strong>Project team &amp; Panel members </strong></p>
<p>Director: <strong>Renny Ramakers </strong> / Droog</p>
<p>Partner: <strong>Rajeev Thakker </strong>/ Studio X Mumbai</p>
<p>Media partner: <strong>Radhika Desai </strong> / DOMUS</p>
<p>Lead designer: <strong>Bas Princen </strong></p>
<p>Design team: <strong>Quaid Doongerwala </strong> and <strong>Shilpa Ranade</strong> (DCOOP Architects), <strong>Ishan Khosla, Eric Klarenbeek, Jorge Manes </strong></p>
<p>Consultants: <strong>Ranjana Dani</strong>, (MIT Institute of Design, Pune), <strong>Matias Echanove</strong> and <strong>Rahul Srivastava </strong>(URBZ), <strong>Rohan Shivkumar</strong> (architect), <strong>Lilet Breddels</strong> (Archis/Volume)</p>
<p>Content &amp; project manager: <strong>Agata Jaworska </strong> / Droog</p>
<p>Studio X: <strong>Adrienne Thadani</strong>, <strong>Nicola Antaki </strong></p>
<p>&nbsp;</p>
<p>Supported by: Dutch Ministry of Education, Culture and Science and City of Amsterdam More info: <a href=""HTTP://WWW.DROOG.COM/PROJECTS/MODELS/UNPREPARED--LESSONS-FROM-THE-INFORMAL-ECONOMY-/"">www.drooglab.com/projects/models/unprepared--lessons-from-the-informal-economy</a></p>
<p>&nbsp;</p>
<p><strong>Droog Lab: Here, there, everywhere </strong></p>
<p>Initiated by Renny Ramakers (co-founder and director of Droog), &#39;Here, there, everywhere&#39; offers a new vision on the future of design. In collaboration with designers, consulting experts and local partners, Droog speculates how people in daily situations worldwide can inspire new directions for design. Current and past project locations include Dubai, New York, the Canadian North, Moscow, Belgium and Mumbai. The design outcomes with accompanying essays and interviews will be published in a book in 2012.</p>
<p>&nbsp;</p>
<p>The initiative is funded by Dutch Ministry of Education, Culture and Science, City of Amsterdam and local partners. <a href=""http://www.droog.com/"">www.droog.com</a></p>
<p>&nbsp;</p>
<p><em>Refreshments will be served &amp; reception to follow.</em></p>
",Mumbai,Studio-X Mumbai
Parcelforce Party,Friday,11,November,2011,Book Launch,Studio-X,"<p>Join us for the first public party fo<em>r Quarterly Co.</em>, the new venture by <strong>Zach Frechette</strong>, founding Editor-in-Chief of <em>GOOD Magazine</em>. Package curators<strong> Liz Danzico</strong>, <strong>Siobhan O&#39;Connor</strong>, and Studio-X NYC co-director <strong>Geoff Manaugh</strong> will each share the backstory on the contents of their first Quarterly box while discussing curation, significant objects, and the artistic potential of the postal system.</p>
<p><br />
	Although <em>Quarterly</em> is currently closed to new subscribers, attendees will have a special opportunity to sign up at the event.</p>
<p><br />
	Free and open to the public</p>
",New York,Studio-X NYC
The Originals Series Presented by FSG and GQ,Wednesday,9,November,2011,Book Launch,Studio-X,"<p>Studio-X NYC will be hosting GQ Magazine and Farrar, Straus and Giroux on Tuesday, November 8, for the launch of FSG Originals, a new series of paperback originals.</p>
<p><br />
	On November 8th, we&#39;ll be launching &quot;<a href=""http://us.macmillan.com/book.aspx?isbn=9780374532901"">PULPHEAD</a>&quot; by John Jeremiah Sullivan and featuring a short acoustic set by the band Caveman. Drinks will be provided.</p>
<p>&nbsp;</p>
<p>Studio-X New York<br />
	180 Varick Street, suite 1610<br />
	Tuesday November 8, 2011<br />
	7:00pm-9:00pm</p>
<p><br />
	Space is limited, please RSVP here:<a href=""http://THEORIGINALSSERIES.EVENTBRITE.COM/""> HTTP://THEORIGINALSSERIES.EVENTBRITE.COM/</a></p>
",New York,Studio-X NYC
