title,day,date,month,year,event_type,series,body,city,venue
X-Talk Vector Architects: Intervening,Sunday,23,December,2012,X-Talk,Studio-X,"<div>
	<strong>Sunday, December 23 at 2pm,&nbsp;X-Talk Vector Architects: Intervening</strong><br />
	<strong>A Lecture by Gong Dong and Chien-Ho Hsu</strong><br />
	<strong>周日，12月23日下午2点，X-Talk&nbsp;直向介入</strong></div>
<strong>由建筑师董功和徐千禾带来的讲座</strong><br />
<br />
<div>
	<strong>X-Talk Vector Architects: Intervening</strong></div>
Studio-X Beijing invites two architects Gong Dong and Chien-Ho Hsu to present a lecture on December 23th at 2pm. Gong Dong and Chien-Ho Hsu, Vector Architects&rsquo; partners, are graduated from prestigious architectural institutions abroad, and have worked for world renowned firms in the field of architecture for years in the United States. With the belief that the relationship between architecture and life, the establishment of social space, and building tectonics should be the key motivation for every design and architectural practice, this lecture will present the basic logic behind their practices.<br />
<div>
	&nbsp;<br />
	<div>
		&nbsp;<strong>X-Talk&nbsp;直向介入</strong></div>
	Studio-X邀请直向建筑董功和徐千禾先生于12月23日下<wbr />午2点为大家带来X-Talk系列讲座&ldquo;直向介入&rdquo;。<wbr />合伙人董功和徐千禾均于国内外接受完整的建筑专业教育，<wbr />并先后在美国著名建筑师事务所工作多年。他们相信，<wbr />建筑对于生活的关照，社会性空间的营造，<wbr />和对于建筑逻辑正确性的坚持，<wbr />是每一次设计实践中一贯追求的理念准则。<wbr />这次讲座也将展示直向建筑设计实践背后的基本逻辑。</div>
<br />
",Beijing,
"URBAN FUTURES 2030: Heritage, Technology and Sustainability - Beijing | Mumbai | Amman",Monday,17,December,2012,[object Object],Studio-X,"Abstract:<br />
In the last two decades, cities and urban forms have experienced unprecedented growth, development, and change especially in many countries of Asia, Africa, the Middle East, and Latin America. A sense of speed, simultaneity, and complexity accompany urban transformations that are often urgent, incessant, and of gargantuan proportions. Many cities today are paradoxical landscapes of global modernity and poverty; grand technological projects and religious festivals. Many see urban development in these cities as a choice between history and technology; local particularities and globalized universalities; timeless continuity and radical transformation; tradition and modernity. An implicit assumption is that one must be at the cost of the other. The creative processes of building new iconic forms and mega-projects have been accompanied by the destructive un-building of heritage, identity, and the natural environment. Hosagrahar proposes alternative perspectives on ways that globalization and technology intersects with history and heritage towards enhancing sustainable urban futures.<br />
<br />
For more information on the conferences in India and China, please visit:<br />
http://urbanindia2030.sustainurban.org/<br />
http://urbanchina2030.sustainurban.org/<br />
<br />
Biography:<br />
Dr. Jyoti Hosagrahar teaches at Columbia University, New York and is Founder-Director of Sustainable Urbanism International at Columbia University, and Bangalore, India. Architect, planner, and historian, she is engaged with planning, design, and policies on urban development, urban conservation and heritage management, and sustainability issues. She serves as an expert for UNESCO on historic cities, culture and development, and urban sustainability. She has been on the working group for the UNESCO Recommendation on Historic Urban Landscaps and also with the UNESCO Expert Group for Sustainable Urban Futures. Hosagrahar is the author of &quot;Indigenous Modernities: Negotiating Architecture and Urbanism&quot; (Architext Series, Routledge, 2005) awarded a 2006 book prize by the International Planning History Society. In partnership with The Energy Resource Institute, India, Hosagrahar developed a framework for moving towards urban sustainability, &ldquo;An Exploration of Sustainability in the Provision of Basic Urban Services in Indian Cities&rdquo; (TERI, 2009). She led SUI in the preparation of an integrated site management plan for the conservation and sustainable development of the heritage of the Hoysala towns in Karnataka that includes a 5-volume report. She has been the recipient of grants from the Graham Foundation, National Endowment for the Humanities, and the American Institute of Indian Studies. She is currently a member of the Advisory Committee for World Heritage Matters for the Ministry of Culture in India and on the Panel for Sustainability with the Bureau of Indian Standards. She serves on the editorial boards of the Journal of Cultural Heritage Management and Sustainable Development, Journal of Planning History and Buildings and Landscapes as well as on the board for the Society for American City and Regional Planning History. She is currently working on a book manuscript, &quot;Designing Change and Continuity: Cultural Resilience and Environmental Sustainability in Urban South Asia.&quot;",Amman,"Columbia Global Centers | Middle East, Amman"
Sink or Swim (SoS): Principles and Priorities in a Post-Sandy Era ,Thursday,13,December,2012,Panel,CURE,"The Center for Urban Real Estate (CURE.) at Columbia University&rsquo;s Graduate School of Architecture, Planning and Preservation together with the Municipal Art Society (MAS) are hosting a conference entitled, &ldquo;New York City: Sink or Swim (SoS): Principles and Priorities for Waterfront Restoration in a Post-Sandy Era,&rdquo; which will take place at the Museum of Jewish Heritage in Lower Manhattan on December 13, 2012 from 9:00 a.m. to 1:00 p.m. (EST).<br />
<br />
Sink or Swim (SoS) will define principles and identify priorities for long‐term investments in infrastructure necessary to adapt to the increased risks posed by sea level rise and other climate change impacts in the New York metropolitan region. SoS provides an opportunity to reflect on the delicate balance of managing the immediate needs of community rebuilding in the face of Hurricane Sandy and the long‐term trade‐offs of developing climate adaptive infrastructure. The dialogue of SoS is framed in the context of two panels: technical and mechanical. The technical panel provides a survey of the technical and design interventions available, as well as their corresponding pricing multiples and aggregate costs. SoS seeks to understand what interventions and combinations of interventions are necessary to shape a feasible strategic plan for catalyzing regional investment by both public and private actors. The dialogue then shifts to discussing the potential administrative mechanics and financial implications critical to executing such abroad multijurisdictional vision. SoS will frame a variety of scaled interventions&mdash;from architectural to infrastructural&mdash;that are both accessible and practical.<br />
<br />
The program emphasizes the practical, by including a Dutch delegation led by the Commissioner of the Netherlands Delta Commission. The Dutch can trace their own experiments in water management and economy to the 12th century and today they lead the world in expertise and practical technology. The Dutch balance of soft and hard edge interventions provides a working model for managing environmentally sensitive urban systems. Is America ready to fundamentally adopt a philosophy the Dutch have embraced&mdash; of learning how to live with water and not against it? With this emerging framework SoS hopes to inform, empower and inspire communities and decision makers to reach a consensus about coastal reconstruction that is both holistic over the long‐term and feasible in the shortterm.<br />
<br />
<u><strong>SCHEDULE</strong></u><br />
<br />
8:30 AM Breakfast and Check‐In<br />
<br />
9:00 AM The Challenge to America&rsquo;s Coastal Communities<br />
<strong>Hon. Shaun Donovan</strong>, United States Secretary of Housing and Urban<br />
Development<br />
<br />
9:30 AM Technical Aspects<br />
Experts in engineering, architecture and urban design to discuss<br />
innovative resilient infrastructure approaches in waterfront<br />
neighborhoods. Session will highlight new tools, implementation<br />
mechanisms and potential costs.<br />
<br />
10:45 AM Break<br />
<br />
11:00 AM Keynote Address<br />
<strong>Mr. Jos van Alphen</strong>, Advisor, Delta Commission,<br />
Netherlands<br />
<br />
11:15 AM Management and Investment Strategies for Urban Resilence<br />
Session to identify investment mechanisms and governance strategies<br />
to overcome jurisdictional gridlock and institutional inertia.<br />
<br />
12:30 PM Closing Keynote Address<br />
<strong>Hon. Ken Salazar</strong>, United States Secretary of the Interior<br />
<br />
Curated &amp; Produced by <strong>Jesse M. Keenan </strong><br />
<br />
Admission is Free. <a href=""http://www.youtube.com/playlist?list=PLZttV1Q7CxhQxu3sZxdPYmPzxKolD99Vf"">Registration is Required.<br />
<br />
<span style=""font-size:18px;"">VIDEO OF SINK OR SWIM (SOS)</span> </a><br />
",New York,Museum of Jewish Heritage
CONSTRUCTION AND COLLAPSE,Wednesday,19,December,2012,Roundtable Discussion,Studio-X,"<br />
<em>The Face of the Destroyer<br />
Titans<br />
The name of the destroyer is<br />
Destroyer.<br />
Is the name of the destroyer.<br />
The name of the Builder is<br />
The name of the builder.<br />
The face of the builder.&nbsp;<br />
What he builds.&nbsp;<br />
The work of the builder.<br />
The destroyer can not destroy&nbsp;<br />
Because the builder does not build.<br />
The builder does not build because<br />
Cannot not build more.<br />
The face of the destroyer.</em><br />
<br />
Alexandre Vogler e Guga Ferraz in conversation with:<br />
Alberto Silva, Special Advisor for CEDURP<br />
Ephim Shluger, architect consultant on sustainable development and urban development<br />
Felipe Scovino, curador da exposi&ccedil;&atilde;o Colapso<br />
Laura Taves, artist and director of Azulejaria<br />
M&aacute;rcio Botner, partner at Galeria Gentil Carioca<br />
Rog&eacute;rio Daflon, reporter at jornal O Globo<br />
Sydnei Menezes, Chairman of Conselho de Arquitetura e Urbanismo<br />
<br />
Construction and Collapse is a conversation provoked by works of visual artists Alexandre Vogler and Guga Ferraz for the exhibition Collapse, currently on display in Gentil Carioca Gallery. Both works have strong political connotations and relate to the urban transformations underway in Rio de Janeiro. In the words of curator Felipe Scovino, they &quot;evoke the public space as a place poetically expressive&quot; to &quot;make the public more aware of your surroundings and conditions in which the work of art stands politically.&quot;<br />
<br />
In the work Retrofit (2012), Vogler replicates the sidewalls of the historic building of Gentil Carioca gallery the facades of the new corporate complex Petrobras, lo-cated in the Historic Center, in a critical position on the quality and the impact of that architecture - and its own work, producing a dubious relationship with its surroundings and passersby. According Scovino, the work &quot;questions which are disruptions and cause of the evils of this new urban and architectural process by which the Rio de Janeiro is but at the same time includes a clear potential for ex-clusion and gentrification.&quot;<br />
<br />
Guga Ferraz, in the work in Sky, uses the bottom of Paulo de Frontin highline to create a window next to a small square that reveals that same sky obscured by the structure. The work emphasizes the impact that these major road interven-tions produce in the ambience of the city, and revealing the contradictions of the present moment when demolition of the Perimetral highline happens in parallel to the implantation of similar tstructures or the Bus Rapid Transit system.",Rio De Janeiro,Studio-X Rio
"VIP Collector's Brunch at Design Miami",Thursday,6,December,2012,Tour,Alumni,"Dear GSAPP Alumni,<br />
<br />
You are cordially invited to the VIP Collector&#39;s Brunch at Design Miami during Art Basel for an exclusive tour with Editor/Creative Director of <a href=""http://pinupmagazine.org/"">PIN-UP Magazine</a> Felix Burrichter MSAAD &#39;04.<br />
<br />
Felix Burrichter is a regular contributor to The New York Times Style Magazine and Fantastic Man. He also writes a monthly design and architecture column for Wired Italia. In 2011 PIN-UP was awarded the Gold Medal for Editorial Design by the Art Director&rsquo;s Club America.<br />
<br />
For additional information on Columbia University&#39;s activities during Art Basel, please visit <a href=""https://alumni.columbia.edu/ecards/ArtBasel_Dec2012_v1"">Columbia University at Art Basel</a>.<br />
<br />
Design Miami<br />
Meridian Avenue &amp; 19th Street<br />
(Adjacent to the Miami Beach Convention Center)<br />
Miami Beach, FL<br />
<a href=""http://www.designmiami.com/page/visitor-information/"">map</a><br />
<br />
Limited space available.<br />
<br />
RSVP to <a href=""mailto:yjk2109@columbia.edu?subject=12-5%20Design%20Miami"">Ellen Kim</a> by December 1 with your full contact information.<br />
<br />
*View photos from the event on the <a href=""http://www.facebook.com/media/set/?set=a.462167837176756.109052.337608722966002"">Art Basel Miami Beach Facebook Album</a>.<br />
<br />
<br />
<a href=""http://miami2012.designmiami.com/"">Design Miami</a> is the global forum for design with annual shows in Miami and Basel. These shows bring together the design community to discuss, explore and see works that address the most important topics, trends and challenges in design today. Each show includes exhibitions by leading international galleries, awards and talks programs, as well as ancillary programming and events.",Other North America,"Miami, FL"
Multipolis Mumbai: Film and our City,Wednesday,5,December,2012,Multipolis Mumbai,Studio-X,"Is Mumbai still the City of Dreams? The 9th segment in our ongoing series exploring the city of Mumbai and its relationship to Film and the industry of making dreams dreamier.<br />
Join Director,Producer &amp; Screenwriter Kiran Rao, Documentary Filmmaker &amp; Author Nasreen Munni Kabir &amp; Author/Journalist Sidharth Bhatia in dialogue with Naresh Fernandes.",Mumbai,
Act: United in Anger: A History of ACT UP,Sunday,2,December,2012,Core Series,Core Series,"<span style=""font-size:12px;""><strong>Jim Hubbard,</strong> Filmmaker and activist<br />
In conversation with <strong>Patrick McCreery,</strong> Gallatin School of Individualized Study, NYU, and <strong>Mabel Wilson,</strong> Columbia University GSAPP</span><br />
<br />
<span style=""font-size:12px;"">ACT UP (AIDS Coalition to Unleash Power) is the pioneering grassroots organization at the forefront of the AIDS activist movement in the 80s and 90s that used direct action politics to bring the crisis to public consciousness. Combining civil disobedience, performance art, and savvy media instincts, ACT UP set the template for staging provocative actions and for transforming governmental and corporate space into sites for social change. The group has been cited as a key influence in the global justice movement, recent anti-war protests, and the current Occupy Wall Street movement. This year marks the 25th anniversary of ACT UP&rsquo;s first action on Wall Street in March 1987. <em>United in Anger: A History of ACT UP</em> (2012) is a feature documentary that presents the story of the organization, from its inception at the LGBT Community Center in the West Village under Larry Kramer&rsquo;s guidance, to the planning and execution of key actions, such as the Stop the Church demonstration at St. Patrick&rsquo;s Cathedral in 1989, in which some 5,000 participants interrupted Cardinal O&rsquo;Conner&rsquo;s Sunday Mass in support of AIDS education, gay civil rights and women&rsquo;s reproductive rights.<br />
<br />
Following the screening, there will be a conversation on activism and urban space with director Jim Hubbard, designer and historian Mabel Wilson, GSAPP, and Patrick McCreery, whose work explores the culture of politics and sexuality and family life.</span><br />
<br />
<span style=""font-size:12px;"">Co-sponsored by Visual AIDS and the Museum of Arts and Design&nbsp;<br />
<br />
Please note: &nbsp;event will take place off-site at the Museum of Arts and Design at 2 Columbus Circle<br />
<br />
<span style=""font-size:11px;"">ACT UP images courtesy of Jim Hubbard</span></span>",New York,Museum of Art and Design
From the Colonial Era to the Colonial Revival,Thursday,6,December,2012,Inquiry:HP,Inquiry:HP,"Twice, In 1992 upon the installation of the 1884 McKim, Mead &amp; White Stair Hall from Buffalo, New York and then again in 2009 with the installation of its New York Dutch Room from Albany County, the American Wing announced that its renowned suite of American period rooms from the late seventeenth to the early twentieth centuries was finally complete. One lesson that has been learned over the past twenty years, however, is never to say never again, for now the American Wing is embarking on the installation of yet another aesthetic interior from the 1880s, the Rockefeller Dressing Room, a recent gift from the Museum of the City of New York. What is the inspiration for continuing to add to and refine this stellar assembly of period rooms in the American Wing and just how do its curators go about this process?<br />
<br />
Join, Peter Kenny, Ruth Bigelow Wriston Curator of American Decorative Arts and Administrator of the American Wing who will share his personal experiences and perspectives on period rooms in the American Wing at the Metropolitan Museum of Art.<br />
This event is FREE and open to the public.<br />
Refreshments will be served.<br />
<br />
Moderated by George Wheeler<br />
<br />
<a href=""http://inquiryhp.wordpress.com/2012/10/03/peter-kenny/"" target=""_blank"">http://inquiryhp.wordpress.com/2012/10/03/peter-kenny/</a><br />
",New York,Buell 200
"""Design as a Catalyst for Social Change"" ",Saturday,1,December,2012,Workshop,Studio-X,"The Aga Khan Planning and Building Service, India (AKPBSI) is organizing the 2-day built environment symposium entitled &quot;Design as a Catalyst for Social Change&quot; in Peri Urban, Small towns and Rural areas. The symposium consists of a Design Workshop day (Dec 1, Saturday) and a Presentation &amp; Discussion day (Dec 2, Sunday).&nbsp;<br />
&nbsp;<br />
Please visit our BLOG for more information and you are very welcome to comment at:<br />
<strong>http://design4socialchange.posterous.com/</strong><br />
<br />
Please also follow us at Facebook Event &quot;DESIGN as a CATALYST for SOCIAL CHANGE&quot;<br />
<strong>http://www.facebook.com/events/123503024471270/</strong><br />
&nbsp;<br />
There will be three thematic groups in the workshop. Each theme will be led by renowned professor or practitioner and be co-led by experts from the AKPBS,I. Please visit our blog for complete information.<br />
1. The &quot;Sustainable Habitat Development&quot; theme will be led by Aga Khan Prof. Jame Wescoat at MIT.<br />
2. The &quot;Social-Economic-Cultural Influences in Habitat Development&quot; theme will be led by Architect Ms. Anna Heringer, the winner of the 2007 Aga Khan Award for Architecture and Loeb Fellow at the Graduate School of Design at Harvard University.<br />
3. The &quot;Policy and Governance for Habitat Development&quot; theme will be led by Dr. Aseem Inam, Associate Professor of Urbanism at Parsons The New School for Design in New York, and Fellow at the Center for Ethics and Transformative Values at MIT.&nbsp;<br />
<br />
On the second day there will be 12 lectures given by the team leaders as well as renowned academicians and practitioners from universities, research institutes and NGOs in India.<br />
<br />
<em><u>This is a closed workshop.</u></em>",Mumbai,
Architecture Meets Development : The New Normal,Friday,30,November,2012,Alumni Panel,Career Services,"<span style=""font-size:12px;""><strong>Architecture Meets Development:<br />
The New Normal</strong><br />
<br />
<em>Alumni panelists will discuss their cross-disciplinary experience working between architecture and development.&nbsp; Join us for coffee and snacks; bring your lunch and your questions.&nbsp; Hosted by the GSAPP Alumni Association, Alumni Student and Careers Committee.&nbsp; Students from all programs and years are encouraged to attend.<br />
<br />
Moderator:</em><br />
<br />
<strong>Ryan LeVasseur</strong>, Senior Analyst, HR&amp;A Advisors <em>(MSRED &rsquo;11)</em><br />
<br />
<em>Panelists:</em><br />
<br />
<strong>Jorge Abad</strong>, Senior Project Manager, Spivak Architects/CURV Development <em>(MSRED &rsquo;11)</em><br />
<strong>Elisa Ours</strong>, Vice President of Planning + Design, Corcoran Sunshine Marketing Group <em>(MArch &rsquo;01)</em><br />
<strong>Stephen Glascock</strong>, President, Anbau Enterprises, Inc. <em>(MSRED &rsquo;91)</em><br />
<strong>David R. Lukes</strong>, Chief Executive Officer, Seritage Realty Trust <em>(MSRED &rsquo;01)</em></span><br />
<br />
",New York,"200, Fayerweather"
