title,day,date,month,year,event_type,series,body,city,venue
Building a Wired City ,Friday,9,May,2014,Building a Wired City,CURE,"This second conference as part of the Building the Digital City<br />
Research Initiative brings together a diverse group of commercial<br />
real estate actors to discuss how corporate real estate strategies<br />
of tech companies are challenging the convenstions of building<br />
design typologies, services and management functions.Panels and<br />
speakers will highlight adaptive strategies for existing portfolios<br />
as well as new projects within NYC which are setting the benchmark<br />
for best practices and innovative physical and organizational design.<br />
<br />
<br />
<u>Program</u><br />
<br />
08:00 a.m.: Networking &amp; Continental Breakfast<br />
08:30 a.m.: Keynote Address<br />
09:00 a.m.: Panel I: Where CRE and Tech Intersect<br />
09:50 a.m.: Coffee Break<br />
10:10 a.m.: Panelt II: Making Space for Tech<br />
11:00 a.m.: Keynote Address<br />
<br />
<u>Speakers</u><br />
<br />
William C. Rudin, CEO &amp; Vice-Chairman, Rudin Management Company, Inc.<br />
Scott Anderson, Chief Strategy Officer, Control Group<br />
Andrew Kimball, Director of Innovation Economy Initiatives, Jamestown Properties<br />
Micah Kotch, Director of Innovation and Entreprenuership, NYU<br />
Stephen Meringoff, Managing Partner, Himmel + Meringoff Properties<br />
Joe Phillips, Director, Smart Building Solutions, IBM Global Business Solutions<br />
Steve Rosenbaum, CEO, Magnify.net<br />
Michael Samuelian, Vice President, Related Companies<br />
Simon Waserberger, Managing Director, L&amp;L Holding Company, LLC.<br />
Ashkan Zandieh, Founder, RE:Tech<br />
Molly Zini, Google<br />
James Sanders, Senior Fellow, CURE.<br />
Andrew Laing, Fellow, CURE.<br />
<br />
<u>Partners</u><br />
<br />
Center for Urban Real Estate (CURE.), Columbia University<br />
The Wall Street Journal<br />
Citrin Cooperman<br />
ABNY<br />
GNYCUC<br />
RE: Tech<br />
CoreNet Global<br />
The Real Deal<br />
<br />
<u>Registration</u><br />
<br />
<a href=""http://www.nytechforum.com"">www.nytechforum.com </a><br />
<br />
<em>Curated for CURE. by Jesse M. Keenan, as part of the <a href=""http://www.arch.columbia.edu/bldgdigitalcity"">Building<br />
the Digital City Research Initiative </a></em><br />
",New York,McGraw-Hill Conference Center
NY-LON SKYPE ,Wednesday,30,April,2014,Roundtable Discussion,Studio-X,"This round-table conversation, held simultaneously in both New York and London and brought together by a video wall, is the first in a series of panel discussions that seeks to interrogate the strong and multi-stranded trans-Atlantic corridor that links these two cities. Over-developed and architecturally conservative, is the undeniable global strength of these two western heavyweights soon to be surpassed by accelerated architectural developments in emerging economies such as China and Russia? Or does the strength of their global alliance render them unassailable? The discussion seeks to unpack these questions and to identify the particular strands that make up this special thoroughfare.<br />
<br />
This series of conversations are intended to culminate in a year-long design studio formed as an exchange between Columbia and the AA.<br />
<br />
This first discussion is intended to open up a broad discussion about the remit of such a studio and the potential topics of investigation. In particular we will look at NYLON threads in terms of history and of the architectural profession specifically.<br />
<br />
With Mark Wigley, Brett Steele, Irene Sunwoo, Mark Campbell, Liam Young, Tatiana von Preussen, and Benedict Clouette",New York,Studio-X NYC
Durst Conference: From Port to People: Reinventing Urban Waterfronts ,Friday,25,April,2014,Core Series,CURE,"<a href=""http://www.eventbrite.com/e/2014-durst-conference-from-port-to-people-reinventing-urban-waterfronts-tickets-11145018049?aff=es2&amp;rank=114&amp;sid=5e3e7702b91911e3acce22000aaa037d""><strong>REGISTER HERE</strong></a><br />
<br />
<u>Istanbul</u><br />
<strong>Ulaş Akın,&nbsp;Serdar Bilgili,&nbsp;Sibel Bozdogan,&nbsp;Haluk Ger&ccedil;ek,&nbsp;Selva G&uuml;rdoğan </strong>and&nbsp;<strong>Alexis Şanal</strong><br />
<br />
<u>Mumbai</u><br />
<strong>P K Das,&nbsp;Surendra Hiranandani,&nbsp;Pankaj Joshi,&nbsp;Sulakshana Mahajan,&nbsp;Rahul Mehrotra,&nbsp;Geeta Mehta&nbsp;</strong>and<strong> Rajeev Thakker</strong><br />
<br />
<u>New York City</u><br />
<strong>John Alschuler,&nbsp; Vishaan Charkrabarti, Jesse M. Keenan, Helena Durst, Tom Fox,&nbsp;Paul Januszewski, Regina Myer </strong>and<strong>&nbsp;Richard Plunz</strong><br />
<br />
<u>Rio de Janeiro</u><br />
<strong>Shawn Amsler,&nbsp;Verena Andreatta,&nbsp;Washington Fajardo,&nbsp;Vitor Hugo dos Santos Pinto,&nbsp;Pedro Rivera&nbsp;</strong>and<strong> Gregory Vaca</strong><br />
<br />
Organized by <strong>Kate Ascher</strong> for CURE., Center for Urban Real Estate<br />
<br />
For centuries, ports and harbors have played a seminal role in the development of commerce and cities. They evolved as a means of defense and of transportation&mdash;for both goods and people. Waterfronts were intense zones of use, dominated by piers, warehouses, markets and manufacturing workshops. Industrialization and increases in trade only reinforced the significance of water access, and harbors became an even more important asset of cities.<br />
<br />
Over the course of the last half century, however, changes in shipping and trade have fundamentally reshaped the physical relationship between port areas and the cities that grew up around them. Advances in land transportation, new technologies for cargo handling, and the physical space required by containerization made many inner-city port facilities obsolete, drastically reducing the number of people whose livelihoods are made along the shore.<br />
<br />
These changes have been felt by cities around the world, some as early as the 1960s and 1970s and some only more recently. Yet despite the disparity in time, the challenge has been the same: how to reclaim the waterfront for development, recreation or culture in a way that synthetically reconnects it to the city and the people it serves. Doing so is not a simple matter of physical planning; it often involves overcoming the challenges of contaminated lands, reluctant neighboring communities and environmental regulation that closely circumscribes what can be built (or rebuilt) in or along the water.<br />
<br />
The reactivation of redundant &ldquo;working waterfront&rdquo; lands occurred first in industrially advanced countries in Europe and the US, in cities such as New York and London. Containerization left central city dockyards and piers silent, and the second half of the twentieth century saw ambitious&mdash;and not always successful&mdash;efforts to repurpose them. Today, similar changes are taking place in rapidly industrializing and growing cities in the Eastern Europe, Asia, and South America. The different stages and nature of such transformation processes will be the subject of the one-day symposium From Port to People: Reinventing Urban Waterfronts, which will look closely at the experience of waterfront redevelopment in four cities: Istanbul, Mumbai, New York, and Rio de Janeiro.<br />
<br />
As early as the 1970s, New York spearheaded waterfront redevelopment, revitalizing parts of lower Manhattan through development projects such as Battery Park City and the South Street Seaport. Since then, other parts of New York&rsquo;s formerly working waterfront have been rezoned from non-residential uses to mixed-use, and redevelopment is taking place at a fast pace. Spurred in part by the World Cup in 2014 and the Olympics in 2016, Rio de Janeiro is moving ahead with a wildly ambitious plan to redevelop a major segment of its urban port zone&mdash;including the construction of underground roadways, new rail lines and significant new commercial development. Istanbul is likewise moving forward on significant waterfront projects, including the recent privatization of one of its former commercial ports as part of an effort to create a new district for tourism. In contrast, Mumbai&rsquo;s waterfront has long been overlooked as part of the city&rsquo;s development plans&mdash;though the opening of a new subway along the eastern side of the city has focused attention on the potential of the city&rsquo;s eastern waterfront.<br />
<br />
The symposium will consider these realized, ongoing, and planned waterfront revitalization projects, investigating the challenges and opportunities that waterfront development presents for planners, developers and cities. Focusing among other areas on governance, finance, transportation planning, and design, panelists will explore what these waterfront cities can learn from each other in an effort to identify solutions and ideas that can help ease the exciting transition along the waterfront &ldquo;from port to people.&rdquo;<br />
<br />
Schedule<br />
<br />
9:15&ndash;9:30am<br />
<strong>Welcome &amp; Conference Goals</strong><br />
<strong>Mark Wigley,</strong> Dean, Columbia University GSAPP<br />
<strong>Kate Ascher</strong><br />
<br />
9:30&ndash;10am<br />
<strong>Cities on the Water: A Historic Overview</strong><br />
Studio-X Directors will present their respective cities in the context of their waterfront history, ports and harbors. The presentations identify and locate the sites of current port redevelopment projects that are of primary interest, and introduce the different issues at play.<br />
<br />
Mumbai:&nbsp;&nbsp; <strong>Rajeev Thakker</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Selva G&uuml;rdoğan</strong><br />
Rio de Janeiro:&nbsp; <strong>Pedro Rivera</strong><br />
<br />
10&ndash;11am<br />
<strong>Urban Mobility: Access to and from the Waterfront</strong><br />
The first panel discusses the link that exists between waterfront uses, infrastructure and development. Creating access to the waterfront plays a crucial role in the implementation and success of redevelopment projects, bringing people to and from jobs, recreation, and living&mdash;particularly in areas with no pre-existing infrastructure. How do you connect people from both the city&rsquo;s heart and outlying areas to the old and new waterfront and beyond? The panel will examine issues of job access, infrastructure, governance, and management.<br />
<em>Facilitator:&nbsp;&nbsp;</em> <strong>Tom Fox</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Haluk Ger&ccedil;ek</strong><br />
Mumbai:&nbsp;&nbsp; <strong>Pankaj Joshi</strong><br />
New York:&nbsp;&nbsp; <strong>Helena Durst</strong><br />
Rio de Janeiro:<strong>&nbsp; Verena Andreatta</strong><br />
<br />
11&ndash;11:15am<br />
Break<br />
<br />
11:15&ndash;12:15pm<br />
<strong>Envisioning &amp; Financing Development</strong><br />
In this panel, real estate developers will examine the strategies that guide their investments in waterfront developments. How are they different from typical developments? What are the risks? How have waterfront developments been financed? How do local regulations (e.g. coastal zoning laws) influence investment strategies? The panel will compare the underlying economic context, finance mechanisms, and development approaches in the four cities.<br />
<em>Facilitator</em>:&nbsp;&nbsp; <strong>Vishaan Chakrabarti</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Serdar Bilgili</strong><br />
Mumbai:&nbsp;&nbsp;<strong> Surendra Hiranandani</strong><br />
New York:&nbsp;&nbsp; <strong>Paul Januszewski</strong><br />
Rio de Janeiro:&nbsp; <strong>Gregory Vaca</strong><br />
<br />
12:15&ndash;1pm<br />
Lunch<br />
<br />
1&ndash;2pm<br />
<strong>Identifying the Legal and Regulatory Framework</strong><br />
The first panel sets the stage by discussing the various political challenges and legal hurdles that frame waterfront development, identifying the factors that impact the speed and nature of waterfront projects. What are the different levels of government and types of oversight involved in the planning and implementation of redevelopment schemes? Issues of governance, development rights, land-use regulations and ownership will be covered.<br />
<em>Facilitator:&nbsp;&nbsp;</em> <strong>Jesse Keenan</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Ulaş Akın</strong><br />
Mumbai:&nbsp;&nbsp; <strong>Sulakshana Mahajan</strong><br />
Rio de Janeiro:&nbsp; <strong>Vitor Hugo dos Santos</strong><br />
<br />
<br />
2&ndash;3pm<br />
<strong>From Port to People: Shaping Public Space</strong><br />
It is people who create successful urban spaces. How do we design waterfronts for the public&rsquo;s access, use and benefit? What is the role of community and cultural heritage in the creation of new urban conditions? The panel will discuss various strategies proposed by designers and planners that enable the activation and transformation of these waterfronts to benefit more than just the development community alone.<br />
<em>Facilitator:&nbsp;&nbsp; </em><strong>Geeta Mehta</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Sibel Bozdogan</strong><br />
Mumbai:&nbsp;&nbsp; <strong>P K Das</strong><br />
New York:&nbsp;&nbsp;<strong> Regina Myer</strong><br />
Rio de Janeiro:&nbsp; <strong>Washington Fajardo</strong><br />
<br />
3&ndash;3:30pm<br />
Break<br />
<br />
3:30&ndash;4:30pm<br />
<strong>Now What? Planning for the Future</strong><br />
Having discussed a wide range of issues and case studies, this last panel explores ideas and lessons that may be transferred from one place to another. How might the experiences of an &lsquo;early adapter&rsquo; like New York or an &lsquo;innovator&rsquo; like Rio help structure thinking about waterfront developments still in very early stages, e.g. the eastern waterfront in Mumbai? How do specific local contexts hinder or limit such transfer of ideas and knowledge?<br />
<em>Facilitator:</em>&nbsp;&nbsp; <strong>Kate Ascher</strong><br />
Istanbul:&nbsp;&nbsp; <strong>Alexis Şanal</strong><br />
Mumbai:&nbsp;&nbsp; <strong>Rahul Mehrotra</strong><br />
New York:&nbsp;&nbsp; <strong>Richard Plunz</strong><br />
Rio de Janeiro:&nbsp; <strong>Shawn Amsler</strong><br />
<br />
4:30pm&ndash;4:45pm<br />
<strong>Closing Remarks</strong><br />
<strong>Vishaan Chakrabarti,</strong> Columbia University GSAPP<br />
<br />
<br />
<br />
<br />
",New York,The Italian Academy
X.PORT ARCHIVE: A Platform for Exchange,Tuesday,29,April,2014,Workshop,Studio-X,"The first of a series of international events held across Studio-X Global Network to critique, propose, and produce alternative models for knowledge sharing. Studio-X directors will assemble with a group of researchers involved in archiving, translation, information policy, and interface design. Together with participants they will consider methods for the dissemination of Studio-X archival materials, and, more broadly, shared critical assets across institutions, collectives, and individuals globally.<br />
<br />
This is part of the Studio-X Global series <em>Architectures of Sharing</em>, focused on resilient networks for dissemination, translation, and knowledge-sharing.&nbsp;<br />
<br />
Organized by the Critical, Curatorial, &amp; Conceptual Practices in Architecture class of 2014, GSAPP, with Nora Akawi, Magu Bueno, Gregory Bugel, Carole Ann Fabian, James Graham, Selva G&uuml;rdoğan, Daisuke Hirose, Li Hu, Carolina Ihle, Dan Lee, Malwina Lys-Dobradin, Mpho Matsipa, Marina Otero Verzier, Fernando Portal, Pedro Rivera, Carlos Solis-Keyser, Gregers Tang Thomsen, Denis Tennen, Rajeev Thakker, and Marisa Yiu.",New York,Studio-X NYC
 Atlanta Networking Reception,Tuesday,29,April,2014,Reception,Alumni,"Please join us for an evening of cocktails and networking with keynote speaker of the American Planning Association&#39;s 2014 National Planning Conference, <a href=""http://candychang.com/"" target=""_blank"">Candy Chang</a> MSUP &#39;07, in Atlanta.<br />
<br />
Please register <a href=""https://www.eventbrite.com/e/cocktails-and-networking-reception-in-atlanta-tickets-11154347955"" target=""_blank"">here</a> by April 20.<br />
<br />
APRIL 29, 2014, 6:30-8:30 P.M.<br />
<a href=""http://www.watlantadowntown.com/atlanta-bar"" target=""_blank"">Drinkshop</a><br />
W Atlanta - Downtown<br />
45 Ivan Allen Jr Boulevard<br />
Atlanta, GA 30308<br />
<br />
<br />
Candy Chang is a Taiwanese American artist who is interested in the relationship between public space, community, and individuation. After losing someone she loved, she created Before I Die on an abandoned house in her neighborhood for people to restore perspective and share what matters to them. Since then, over 400 Before I Die walls have been created in over 60 countries and 25 languages by passionate people around the world, and a book about the project was recently published by St. Martin&rsquo;s Press. She is a TED Senior Fellow and a World Economic Forum Young Global Leader.",Other North America,"Atlanta, GA"
"Conversations Around Public Health, Architecture, and Cities",Tuesday,22,April,2014,Symposium,Studio-X,"Co-sponsored by the Department of Epidemiology at Columbia University&rsquo;s Mailman School of Public Health and the Graduate School of Architecture, Planning, and Preservation, the event is informed by an appreciation of the ever-growing role of the urban environment in shaping the health of populations, both in the US and globally.&nbsp; Urban environments, including physical, social, and service spaces, affect the water we drink, the air we breathe, and the food we eat. Emerging evidence suggests that the urban environment also plays a substantial role in how we feel, think, and behave.&nbsp; This understanding animates scholarship that must, definitionally, exist at the interstice of public health and urban planning/architecture. It is the intent of this meeting to explore these intersections.<br />
<br />
09:00 BREAKFAST AND INFORMAL GREETINGS<br />
09:25 WELCOMING REMARKS<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Dean Linda P. Fried, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Dean Mark A. Wigley, GSAPP<br />
09:30 OVERVIEW OF THE DAY<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Sandro Galea, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Hilary Sample, GSAPP<br />
09:35 KEYNOTE ADDRESS<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Carlos Dora, World Health Organization<br />
10:15 UNDERSTANDING CITIES, UNDERSTANDING HEALTH: STATE OF AND CHALLENGES TO SCHOLARSHIP<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; PANELISTS<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Gina Lovasi, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Andrew Rundle, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Giovanna Borasi, Canadian Centre for Architecture<br />
11:25 BREAK<br />
11:40 CASE STUDIES: LEARNING BY EXAMPLE<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; PANELISTS<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Karen Lee, New York City Department of Health and Mental Hygiene<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Lynn Freedman, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Alex Lehnerer, Studio&nbsp;Alex Lehnerer<br />
12:50 LUNCH<br />
01:50 BUILDING HEALTHY CITIES IN THE FUTURE<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; PANELISTS<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Peter Muennig, Mailman School of Public Health<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Vishaan Chakrabarti, GSAPP<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Natalie Jeremijenko, New York University<br />
03:00 IN CONVERSATION<br />
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Deans Fried and Wigley<br />
<br />
<br />
Presented by the Urban/Health Program",New York,Studio-X NYC
"Bohol's Coral Churches",Thursday,17,April,2014,Inquiry:HP,Inquiry:HP,"On October 15, 2013, a powerful earthquake shook the central islands of the Philippines, claiming&nbsp;hundreds of lives and causing damage to several heritage structures. The impact of the earthquake&rsquo;s&nbsp;force was most significant in the island of Bohol, famous for its coral stone churches, dating from the&nbsp;early 18th to mid 20th centuries. Two of these churches were reduced to rubble while several&nbsp;suffered major damage. Three weeks after the earthquake, the central islands of the Philippines&nbsp;were hit by Typhoon Haiyan/Yolanda, the strongest typhoon ever recorded, killing 6000 people and&nbsp;laying waste to the city of Tacloban, Leyte and other towns and villages.<br />
<br />
Roz Li, President of Bakas Pilipinas, Inc., a not-for-profit organization dedicated to preservation of&nbsp;Philippine heritage sites, will present photos of the coral stone churches of Bohol. The slide&nbsp;presentation will focus on the churches before and after the earthquake, and current organizational&nbsp;efforts to restore and rebuild them. The presentation offers an opportunity to discuss philosophical&nbsp;and technical issues of preservation amidst disaster recovery.<br />
<br />
Inquiry: HP is Columbia University GSAPP&rsquo;s Historic Preservation Lecture Series. The objective of Inquiry: HP is to present&nbsp;individuals in various disciplines related to historic preservation and foster discussion between speakers, students and&nbsp;practitioners about contemporary preservation theories, practices and applications.",New York,"200, Fayerweather"
Landscapes of Secrecy: Data and Reporting in the Drone Debate,Thursday,10,April,2014,Panel,Studio-X,"In collaboration with Bard&rsquo;s Center for the Study of the Drone, this event will look to open a discussion on the gathering/reconstructing of data regarding US Drone strikes, placing in conversation three researchers from diverse disciplinary backgrounds whose work seeks&nbsp;to understand and represent the nature and extent of U.S. targeted killing operations, the relationship between secrecy and forms of surveillance and violence, and the production of &quot;evidence&quot; at the intersections of legal and physical environments.<br />
<br />
Introductory Remarks by Carlos Solis-Keyser (Studio-X NYC) and Marina Otero Verzier (Studio-X Global Network). Moderated by Arthur Holland Michel of Bard&rsquo;s <a href=""http://dronecenter.bard.edu"">Center for the Study of the Drone</a> with Bradley Samuels, (<a href=""http://www.situresearch.com"">SITU Research</a>), Naureen Shah (<a href=""https://www.aclu.org"">ACLU</a>), and <a href=""http://joshbegley.com"">Josh Begley</a> (Metadata+).<br />
<br />
<em>Landscape of Secrecy: Data and Reporting in the Drone Debate</em> is the second in the Studio-X Global series on <em>Security Regimes</em>, which examines global spaces of exception, from supermax prisons to territories where mass surveillance or lethal targeting are allowed in the name of security.<br />
<br />
The conversation will be followed by a forthcoming collaborative publication by Studio-X, the <a href=""http://dronecenter.bard.edu/"">Center for the Study of the Drone</a>, the <a href=""http://www.hetnieuweinstituut.nl/en/news/open-call-drones-deaf2014"">New Institute</a> and<br />
<a href=""http://www.dpr-barcelona.com/"">dpr-barcelona</a>, which will include materials from the panel Landscapes of Secrecy: Data and Reporting in the Drone Debate and the seminar <a href=""http://www.hetnieuweinstituut.nl/en/news/open-call-drones-deaf2014"">&#39;Drones and Honeycombs&#39;</a> that will take place in Rotterdam in May.",New York,Studio-X NYC
Ankara after the September 12 Military Coup,Thursday,10,April,2014,Panel,Studio-X,"Moderator: Melek Taylan<br />
<br />
Adnan Bostancıoğlu (Journalist/BirG&uuml;n): Mamak Military Prison<br />
Murat &Ccedil;elikkan (Journalist/Memory Center): A Torture House: the Derin Research Laboratory<br />
Nadire Mater (Journalist/Bianet): Ankara before and after September 12<br />
The &lsquo;Hidden Histories of Cities&rsquo; panel series is being organized within the context of the &lsquo;Compressed: Guant&aacute;namos&rsquo; exhibition. The event will be held in Turkish.<br />
<br />
Upcoming panel:&nbsp;&lsquo;Faded Memories: Istanbul&rsquo;s Armenian Past&rsquo; April 25, 2014, 19:00 &ndash; 21:00<br />
<br />
<a href=""https://www.facebook.com/events/257079537804751/"" target=""_blank"">facebook</a> |&nbsp;<a href=""http://studio-xistanbul.org/en/events/askeridarbesonrasiankara"" target=""_blank"">http://studio-xistanbul.org/en/events/askeridarbesonrasiankara</a>",Istanbul,Studio-X Istanbul
Água Carioca ,Thursday,10,April,2014,Exhibition Opening,Exhibitions,"Exhibition of the dutch practice OOZE presents alternative proposals for water treatment in Rio de Janeiro.&nbsp; The opening will be followed by the launch of the documentary &Aacute;gua Carioca, followed by a debate.<br />
<br />
about &Aacute;gua Carioca exhibition:<br />
Constructed Wetlands are natural, self-sufficient and decentralized water treatment systems that imitate natural digestivhe processes in the way they allow microorganisms to unfold their purifying power. In close cooperation with Dutch experts in water technology and commissioned by various institutions across Europe, OOZE has realized several of such systems under various circumstances over recent years. The project &Aacute;gua Carioca makes use of this expertise and expands it: it analyses how Constructed Wetlands may contribute to improve water purification in the city of Rio de Janeiro, more specifically in its informal settlements and speculates how this could be implemented on a large scale, covering the whole&nbsp; State of Rio de Janeiro around the Guanabara Bay. The analysis resulted in four designs for four different neighborhoods, which demonstrate how these systems may look like when being implemented across the city. The project has been carried out in close cooperation with inhabitants and received support of several non-governmental and governmental organizations.&nbsp; Comments, questions and recommendations made by stakeholders are an integral part of the outcome. While maps and plans discuss physical potentialities and barriers, quotations of their remarks highlight institutional chances and challenges.<br />
<br />
about &Aacute;gua Carioca di&aacute;rios documentary:<br />
&ldquo;&Aacute;gua Carioca di&aacute;rios&rdquo; is a film that investigates through a series of interviews the problem of water supply, water management and sewage treatment in the city of Rio de Janeiro. The film shows how a distributed system of wetlands could potentially eliminate these problems in an economical and sustainable way.<br />
<br />
Debate with:<br />
Alexandre De Bonis, civil engineer, Coordinator of Water Resources at the Secretary of Environment at the Mayor&acute;s Office of Rio de Janeiro.<br />
Carmen Lucia Roquette Pinto, chemist and research, aguap&eacute; specialist<br />
Helena de Almeida Rego, architect and urbanist, with a Master&acute;s in Urbanism at PROURB (Federal University of Rio de Janeiro) and Project Manager at Instituto Pereira Passos<br />
Jose Miguel da Silva, student in Geography at the Federal University of Rio de Janeiro, is founder of the Baia Viva moviment and an activist for the de-contamination of Cidade dos Meninos in Duque de Caxias<br />
Maria Ang&eacute;lica Maciel Costa, doctor in Urban Planning and Regional Planejamento at (IPPUR) and professor in the Tourism Course at the Rural Federal University of Rio de Janeiro.<br />
Otavio Cabrera de L&eacute;o, geographer, works at the Secretary of Environment of Rio de Janeiro and is Advisor on Sanitation Policy at INEA.<br />
<br />
OOZE architects &amp; urbanists:<br />
OOZE&nbsp; is an international design practice operating in the fields of architecture and urbanism, based in Rotterdam, the Netherlands, and founded by Eva Pfannes and Sylvain Hartenberg in 2003. OOZE combines an elaborate understanding of natural, ecological processes with technological expertise and deep insights into the social-cultural behavior of users of the built environment. Their design and research projects, constructed in collaborative processes that balance imaginations of futures with urgent, current needs, are transformative tools at the hand of agents. They allow users to appropriate a space and develop it further. OOZE strives to be a catalyst for change and believe that change is incremental. Each project, each art installation, building, public space or urban structure is both, the product of a way of living and an idea of&nbsp; adapting this way of living to achieve a more social and ecological sustainability. The cyclic processes found in nature form the base for each intervention and integrate the human scale within a holistic urban strategy.<br />
Work of OOZE has been realized in some European and Asian countries and was exhibited during several international cultural events, among them the Venice Biennial in 2012. Ooze has received numerous awards, including the prestigious Dutch Basis Prix de Rome for Architecture in 2006.",Rio De Janeiro,Studio-X Rio
